id,datetime,geojson_url,csv_url,dat_url,dat_gz_url
acp012024,2024-08-21 12:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp012024/acp012024-20240821-1200.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat.gz
aep902024,2024-08-21 06:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep902024/aep902024-20240821-0600.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat.gz
aep912024,2024-08-21 06:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep912024/aep912024-20240821-0600.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat.gz
acp902024,2024-08-21 06:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp902024/acp902024-20240821-0600.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat.gz
acp012024,2024-08-21 06:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp012024/acp012024-20240821-0600.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat.gz
aep072024,2024-08-21 06:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep072024/aep072024-20240821-0600.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.dat.gz
aep912024,2024-08-21 00:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep912024/aep912024-20240821-0000.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat.gz
aep072024,2024-08-21 00:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep072024/aep072024-20240821-0000.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.dat.gz
acp902024,2024-08-21 00:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp902024/acp902024-20240821-0000.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat.gz
acp012024,2024-08-21 00:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp012024/acp012024-20240821-0000.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat.gz
aep902024,2024-08-21 00:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep902024/aep902024-20240821-0000.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat.gz
aep072024,2024-08-20 18:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep072024/aep072024-20240820-1800.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep072024/aep072024.dat.gz
acp902024,2024-08-20 18:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp902024/acp902024-20240820-1800.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat.gz
aep902024,2024-08-20 18:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep902024/aep902024-20240820-1800.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat.gz
acp012024,2024-08-20 18:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp012024/acp012024-20240820-1800.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat.gz
aep912024,2024-08-20 18:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep912024/aep912024-20240820-1800.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat.gz
acp902024,2024-08-20 12:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp902024/acp902024-20240820-1200.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp902024/acp902024.dat.gz
aep912024,2024-08-20 12:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep912024/aep912024-20240820-1200.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep912024/aep912024.dat.gz
acp012024,2024-08-20 12:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-acp012024/acp012024-20240820-1200.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-acp012024/acp012024.dat.gz
aep902024,2024-08-20 12:00:00,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/processed/adeck-aep902024/aep902024-20240820-1200.geojson,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.csv,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat,https://raw.githubusercontent.com/palewire/noaa-hurricane-gis-scraper/main/data/raw/adeck-aep902024/aep902024.dat.gz
