BASIN,CY,YYYYMMDDHH,TECHNUM/MIN,TECH,TAU,LATN/S,LONE/W,VMAX,MSLP,TY,RAD,WINDCODE,RAD1,RAD2,RAD3,RAD4,POUTER,ROUTER,RMW,GUSTS,EYE,SUBREGION,MAXSEAS,INITIALS,DIR,SPEED,STORMNAME,DEPTH,SEAS,SEASCODE,SEAS1,SEAS2,SEAS3,SEAS4,USERDEFINED,USERDATA
AL,19,2024111218,1,CARQ,-24,169N,759W,20,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,L,0.0,X,0.0,0.0,INVEST,,,,,,,,,
AL,19,2024111218,1,CARQ,-18,169N,760W,20,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,L,0.0,X,0.0,0.0,INVEST,,,,,,,,,
AL,19,2024111218,1,CARQ,-12,169N,761W,20,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,L,0.0,X,270.0,1.0,INVEST,,,,,,,,,
AL,19,2024111218,1,CARQ,-6,169N,763W,20,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,L,0.0,X,0.0,0.0,INVEST,,,,,,,,,
AL,19,2024111218,1,CARQ,0,169N,765W,20,1007,DB,34,NEQ,0,0,0,0,1010.0,200.0,0.0,0.0,0.0,L,0.0,X,270.0,3.0,INVEST,S,,,,,,,,
AL,19,2024111218,1,CARQ,0,169N,765W,20,1007,DB,50,NEQ,0,0,0,0,1010.0,200.0,0.0,0.0,0.0,L,0.0,X,270.0,3.0,INVEST,S,,,,,,,,
AL,19,2024111218,1,CARQ,0,169N,765W,20,1007,DB,64,NEQ,0,0,0,0,1010.0,200.0,0.0,0.0,0.0,L,0.0,X,270.0,3.0,INVEST,S,,,,,,,,
AL,19,2024111218,3,AC00,0,168N,755W,19,1008,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,6,168N,755W,24,1009,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,12,169N,760W,23,1008,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,18,168N,765W,22,1008,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,24,173N,774W,25,1006,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,30,170N,790W,27,1007,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,36,166N,802W,22,1005,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,42,164N,811W,24,1005,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,48,164N,820W,26,1003,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,54,162N,827W,29,1001,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,60,161N,828W,30,1000,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,66,159N,831W,35,999,XX,34,NEQ,68,0,0,75,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,72,158N,827W,41,995,XX,34,NEQ,42,63,0,88,,,,,,,,,,,,,,,,,,,,
AL,19,2024111218,3,AC00,78,156N,824W,44,991,XX,34,NEQ,57,74,69,104,,,,,,,,,,,,,,,,,,,,
