AL, 19, 2024111218, 01, CARQ, -24, 169N,  759W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 19, 2024111218, 01, CARQ, -18, 169N,  760W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 19, 2024111218, 01, CARQ, -12, 169N,  761W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 270,   1,     INVEST,  , 
AL, 19, 2024111218, 01, CARQ,  -6, 169N,  763W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 19, 2024111218, 01, CARQ,   0, 169N,  765W,  20, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1010,  200,   0,   0,   0,   L,   0,   X, 270,   3,     INVEST, S, 
AL, 19, 2024111218, 01, CARQ,   0, 169N,  765W,  20, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1010,  200,   0,   0,   0,   L,   0,   X, 270,   3,     INVEST, S, 
AL, 19, 2024111218, 01, CARQ,   0, 169N,  765W,  20, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1010,  200,   0,   0,   0,   L,   0,   X, 270,   3,     INVEST, S, 
AL, 19, 2024111218, 03, AC00,   0, 168N,  755W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,   6, 168N,  755W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  12, 169N,  760W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  18, 168N,  765W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  24, 173N,  774W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  30, 170N,  790W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  36, 166N,  802W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  42, 164N,  811W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  48, 164N,  820W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  54, 162N,  827W,  29, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  60, 161N,  828W,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2024111218, 03, AC00,  66, 159N,  831W,  35,  999, XX,  34, NEQ,   68,    0,    0,   75, 
AL, 19, 2024111218, 03, AC00,  72, 158N,  827W,  41,  995, XX,  34, NEQ,   42,   63,    0,   88, 
AL, 19, 2024111218, 03, AC00,  78, 156N,  824W,  44,  991, XX,  34, NEQ,   57,   74,   69,  104, 
AL, 19, 2024111218, 03, AC00,  84, 154N,  823W,  61,  982, XX,  34, NEQ,   77,   99,   86,   91, 
AL, 19, 2024111218, 03, AC00,  84, 154N,  823W,  61,  982, XX,  50, NEQ,    0,    0,   50,   49, 
AL, 19, 2024111218, 03, AC00,  90, 153N,  820W,  74,  974, XX,  34, NEQ,   79,  112,   97,  104, 
AL, 19, 2024111218, 03, AC00,  90, 153N,  820W,  74,  974, XX,  50, NEQ,   45,   57,   60,   48, 
AL, 19, 2024111218, 03, AC00,  90, 153N,  820W,  74,  974, XX,  64, NEQ,    0,    0,   34,   38, 
AL, 19, 2024111218, 03, AC00,  96, 150N,  819W,  78,  964, XX,  34, NEQ,   90,  108,  102,  117, 
AL, 19, 2024111218, 03, AC00,  96, 150N,  819W,  78,  964, XX,  50, NEQ,   55,   69,   66,   56, 
AL, 19, 2024111218, 03, AC00,  96, 150N,  819W,  78,  964, XX,  64, NEQ,   37,   45,   47,   44, 
AL, 19, 2024111218, 03, AC00, 102, 148N,  816W,  74,  963, XX,  34, NEQ,  101,  118,   99,  116, 
